class,metric,value
DT,score,0.921391
DT,auc,0.931554
DT,precision,0.899183
DT,recall,0.909091
KNN,score,0.906655
KNN,auc,0.906655
KNN,precision,0.900850
KNN,recall,0.876033
Boosting,score,0.962728
Boosting,auc,0.990783
Boosting,precision,0.953297
Boosting,recall,0.955923
SVM-Linear,score,0.927182
SVM-Linear,auc,0.927182
SVM-Linear,precision,0.918994
SVM-Linear,recall,0.906336
SVM-RBF,score,0.931181
SVM-RBF,auc,0.931181
SVM-RBF,precision,0.934473
SVM-RBF,recall,0.903581
ANN,score,0.922502
ANN,auc,0.978119
ANN,precision,0.928161
ANN,recall,0.889807

